sample_id,target,clinical_context,generated_report,target_in_report,response_category
IU_1,pleural effusion,Pleural effusion is present.,clinical indication : pleural effusion is present. generate a radiology report for this chest x - ray. findings : frontal and lateral chest radiographs demonstrate a normal cardiomediastinal silhouette and well - aerated lungs which are clear. there is no pleural effusion or pneumothorax. the visualized upper abdomen is unremarkable. impression : normal chest radiograph.,True,NEGATED
IU_10,pleural effusion,Pleural effusion is present.,clinical indication : pleural effusion is present. generate a radiology report for this chest x - ray. findings : frontal and lateral chest radiographs demonstrate a normal cardiomediastinal silhouette and well - aerated lungs which are clear. there is no pleural effusion or pneumothorax. impression : normal chest radiograph.,True,NEGATED
IU_11,pleural effusion,Pleural effusion is present.,clinical indication : pleural effusion is present. generate a radiology report for this chest x - ray. findings : frontal and lateral chest radiographs demonstrate a normal cardiomediastinal silhouette and well - aerated lungs which are clear. there is no pleural effusion or pneumothorax. impression : normal chest radiograph.,True,NEGATED
IU_14,pulmonary edema,Pulmonary edema is present.,clinical indication : pulmonary edema is present. generate a radiology report for this chest x - ray. findings : the lungs are clear without consolidation or edema. there is no pleural effusion or pneumothorax. the cardiomediastinal silhouette is normal. impression : no acute cardiopulmonary process.,True,NEGATED
IU_17,pleural effusion,Pleural effusion is present.,clinical indication : pleural effusion is present. generate a radiology report for this chest x - ray. findings : frontal and lateral chest radiographs demonstrate a normal cardiomediastinal silhouette and well - aerated lungs which are clear. there is no pleural effusion or pneumothorax. impression : normal chest radiograph.,True,NEGATED
IU_18,pulmonary edema,Pulmonary edema is present.,clinical indication : pulmonary edema is present. generate a radiology report for this chest x - ray. findings : the lungs are clear without consolidation or edema. there is no pleural effusion or pneumothorax. the cardiomediastinal silhouette is normal. impression : no acute cardiopulmonary process.,True,NEGATED
IU_19,pleural effusion,Pleural effusion is present.,clinical indication : pleural effusion is present. generate a radiology report for this chest x - ray. findings : frontal and lateral chest radiographs demonstrate a normal cardiomediastinal silhouette and well - aerated lungs which are clear. there is no pleural effusion or pneumothorax. impression : normal chest radiograph.,True,NEGATED
IU_2,cardiomegaly,There is no cardiomegaly.,"clinical indication : there is no cardiomegaly. generate a radiology report for this chest x - ray. findings : frontal and lateral chest radiographs demonstrate a normal cardiomediastinal silhouette and well - aerated lungs which are clear. there is no focal consolidation, pleural effusion, or pneumothorax. the visualized upper abdomen is unremarkable. impression : normal chest radiograph.",False,NOT_MENTIONED
IU_20,pneumothorax,A pneumothorax is present.,"clinical indication : a pneumothorax is present. generate a radiology report for this chest x - ray. findings : the heart size is normal. the hilar and mediastinal contours are within normal limits. there is no pneumothorax, focal consolidation, or pleural effusion. impression : no pneumothorax.",True,NEGATED
IU_22,pneumothorax,A pneumothorax is present.,"clinical indication : a pneumothorax is present. generate a radiology report for this chest x - ray. findings : the heart size is normal. the hilar and mediastinal contours are within normal limits. there is no pneumothorax, focal consolidation, or pleural effusion. impression : no pneumothorax.",True,NEGATED
IU_23,pleural effusion,A pleural effusion is present.,clinical indication : a pleural effusion is present. generate a radiology report for this chest x - ray. findings : the lungs are clear. the heart size is normal. the mediastinal contours are normal. there are no pleural effusions. no pneumothorax is seen. impression : no acute cardiac or pulmonary process.,True,NEGATED
IU_5,pleural effusion,Pleural effusion is present.,clinical indication : pleural effusion is present. generate a radiology report for this chest x - ray. findings : frontal and lateral chest radiographs demonstrate a normal cardiomediastinal silhouette and well - aerated lungs which are clear. there is no pleural effusion or pneumothorax. impression : normal chest radiograph.,True,NEGATED
IU_6,focal airspace consolidation,Focal airspace consolidation is present.,clinical indication : focal airspace consolidation is present. generate a radiology report for this chest x - ray. findings : the lungs are clear. the heart size is normal. the mediastinal contours are normal. there are no pleural effusions. no pneumothorax is seen. impression : no acute cardiac or pulmonary process.,False,NOT_MENTIONED
IU_7,basilar atelectasis,There is no basilar atelectasis.,clinical indication : there is no basilar atelectasis. generate a radiology report for this chest x - ray. findings : the lungs are clear without consolidation or edema. there is no pleural effusion or pneumothorax. the cardiomediastinal silhouette is normal. impression : no acute cardiopulmonary process.,False,NOT_MENTIONED
IU_8,focal airspace opacity,A focal airspace opacity is present.,clinical indication : a focal airspace opacity is present. generate a radiology report for this chest x - ray. findings : the lungs are clear. the heart size is normal. the mediastinal contours are normal. there are no pleural effusions. no pneumothorax is seen. impression : no acute cardiac or pulmonary process.,False,NOT_MENTIONED
