sample_id,context_length,contains_deid,eligible_sufficient,eligible_incomplete,eligible_irrelevant,eligible_conflicting,eligible_insufficient
IU_1,16,False,True,False,True,True,True
IU_2,24,False,True,True,True,True,True
IU_4,29,True,True,True,True,True,True
IU_5,27,False,True,True,True,True,True
IU_6,22,False,True,False,True,True,True
IU_7,20,False,True,False,True,True,True
IU_8,75,True,True,True,True,True,True
IU_9,58,False,True,True,True,True,True
IU_10,31,True,True,True,True,True,True
IU_11,38,False,True,True,True,True,True
IU_12,4,True,False,False,True,False,True
IU_13,11,False,False,False,True,False,True
IU_14,32,True,True,True,True,True,True
IU_15,7,False,False,False,True,False,True
IU_17,33,True,True,True,True,True,True
IU_18,24,True,True,True,True,True,True
IU_19,48,True,True,True,True,True,True
IU_20,31,True,True,True,True,True,True
IU_22,42,True,True,True,True,True,True
IU_23,35,False,True,True,True,True,True
